BIC;Name
BYLADEM1ANS;SPARKASSE ANSBACH
BYLADEM1AOE;KREISSPARKASSE ALTOETTING (ALT)
BYLADEM1ASA;SPARKASSE ASCHAFFENBURG - ALZENAU
BYLADEM1AUG;KREISSPARKASSE AUGSBURG
BYLADEM1BGL;SPARKASSE BERCHTESGADENER LAND
BYLADEM1CHM;SPARKASSE IM LANDKREIS CHAM
BYLADEM1COB;SPARKASSE COBURG-LICHTENFELS
BYLADEM1DAH;SPARKASSE DACHAU
BYLADEM1DEG;SPARKASSE DEGGENDORF
BYLADEM1DKB;SPARKASSE ANSBACH
BYLADEM1DLG;SPARKASSE DILLINGEN-NOERDLINGEN
BYLADEM1DON;SPARKASSE DONAUWOERTH
BYLADEM1EBE;KREISSPARKASSE MUENCHEN STARNBERG EBERSBERG
BYLADEM1EGF;SPARKASSE ROTTAL-INN
BYLADEM1EIS;SPARKASSE INGOLSTADT EICHSTAETT
BYLADEM1ERD;KREIS- UND STADTSPARKASSE ERDING - DORFEN
BYLADEM1ERH;STADT-UND KREISSPARKASSE ERLANGEN HOECHSTADT HERZOGENAURACH
BYLADEM1ESB;VEREINIGTE SPARKASSEN ESCHENBACH - NEUSTADT - VOHENSTRAUSS
BYLADEM1FFB;SPARKASSE FUERSTENFELDBRUCK
BYLADEM1FIG;SPARKASSE HOCHFRANKEN (ALT)
BYLADEM1FOR;SPARKASSE FORCHHEIM
BYLADEM1FRG;SPARKASSE FREYUNG - GRAFENAU
BYLADEM1FSI;SPARKASSE FREISING
BYLADEM1GAP;KREISSPARKASSE GARMISCH - PARTENKIRCHEN
BYLADEM1GUN;VEREINIGTE SPARKASSE GUNZENHAUSEN
BYLADEM1GZK;SPARKASSE GUENZBURG-KRUMBACH
BYLADEM1HAS;SPARKASSE SCHWEINFURT-HASSBERGE
BYLADEM1HOF;SPARKASSE HOCHFRANKEN
BYLADEM1HOS;STADT-UND KREISSPARKASSE ERLANGEN HOECHSTADT HERZOGENAURACH
BYLADEM1ING;SPARKASSE INGOLSTADT EICHSTAETT
BYLADEM1KEH;KREISSPARKASSE KELHEIM
BYLADEM1KFB;KREIS- UND STADTSPARKASSE KAUFBEUREN
BYLADEM1KIS;SPARKASSE BAD KISSINGEN
BYLADEM1KMS;KREISSPARKASSE MUENCHEN STARNBERG EBERSBERG
BYLADEM1KSW;SPARKASSE SCHWEINFURT-HASSBERGE
BYLADEM1KUB;SPARKASSE KULMBACH-KRONACH
BYLADEM1LAH;SPARKASSE LANDSHUT
BYLADEM1LLD;SPARKASSE LANDSBERG-DIESSEN
BYLADEM1MDF;SPARKASSE ALTOETTING-MUEHLDORF
BYLADEM1MIB;KREISSPARKASSE MIESBACH-TEGERNSEE
BYLADEM1MIL;SPARKASSE MILTENBERG-OBERNBURG
BYLADEM1MLM;SPARKASSE MEMMINGEN-LINDAU-MINDELHEIM
BYLADEM1MSB;STADT- UND KREISSPARKASSE MOOSBURG
BYLADEM1NEA;SPARKASSE IM LANDKREIS NEUSTADT - BAD WINDSHEIM
BYLADEM1NEB;SPARKASSE NEUBURG-RAIN
BYLADEM1NES;SPARKASSE BAD NEUSTADT
